account_id,entity_id,account_type,status,balance,open_date
GB18JQAS57394059802602,bc8960a9-23b8-41e9-b924-56de3eb13b90,Current,Active,37430.55,2022-12-06
GB24ZHCL89258490734203,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,Savings,Active,23562.21,2024-10-13
GB63VOPJ86759514186482,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,Savings,Active,39091.71,2022-08-06
GB14TKZU86841962332605,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,Savings,Active,5652.21,2025-05-20
GB10FONP48317306629315,f50bea63-371e-4d7b-a7cd-813047229389,Business,Active,1702.74,2026-06-18
GB44ORQE42655946989062,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Business,Active,8101.4,2025-08-26
GB98HUPD79890223790065,146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,Savings,Active,34027.19,2025-11-19
GB80BVRI77954176755398,a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,Business,Active,35599.2,2026-06-12
GB18OXGO81591579089458,c4b032cc-d7c5-44a5-9304-317faf42e12f,Business,Active,25143.43,2023-06-13
GB94QIRQ76380207612396,654821d0-7fcd-4eb1-a7ca-d415366eb16f,Savings,Active,46579.37,2026-02-17
GB03UKXC88129886182070,654821d0-7fcd-4eb1-a7ca-d415366eb16f,Current,Active,26122.9,2026-03-23
GB31DBOS23729826893348,ff5e9ff0-ff50-4de4-b825-67b85cabcc97,Current,Active,37182.42,2026-04-26
GB64BHWK06757896833557,77d21e02-ff01-4f99-988c-24c961b1cd22,Current,Active,11023.43,2026-02-01
GB18HXDY23155505705218,287d06ca-6f4c-469a-8b22-d3081c8eaee9,Business,Active,48801.77,2026-01-17
GB38QIWI40458831141470,9be578c7-81f6-41d4-a392-31a7d777a477,Current,Active,40846.29,2026-05-01
GB29UZKB36871568910977,9be578c7-81f6-41d4-a392-31a7d777a477,Savings,Active,32669.73,2026-03-10
GB61HUJZ45684467940366,9be578c7-81f6-41d4-a392-31a7d777a477,Savings,Active,8324.74,2026-05-15
GB32NGET57378315975729,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Business,Active,21268.67,2024-11-01
GB40DQMR30291585423324,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Current,Active,3982.65,2023-06-06
GB64CRLU48396607344674,f264accc-79ac-4b1e-a8e5-6e0c20de435d,Savings,Active,1499.64,2025-09-24
GB20LXUS58417491617050,5f987c71-a65e-488e-abf3-ad39fec21bbe,Business,Active,5412.58,2026-05-06
GB08QVDM98141344760948,0f1259e0-a18f-46b6-b535-106e122c9a56,Current,Active,37850.42,2025-11-10
GB54JAXE92864330265099,ef7ddc76-b92d-422b-a1df-306f8a0b3c33,Business,Active,10166.12,2026-01-02
GB31DRGN67719666610256,0dde29a6-baa4-471a-9d24-67ac778eedb3,Current,Active,13531.48,2024-02-27
GB26EZEE34998013768367,766ecb15-474e-4c19-aef9-12766c006f61,Business,Active,2339.24,2025-08-08
GB02DPOT15244614409233,7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,Savings,Active,2379.46,2026-05-05
GB54MLNJ26018637263199,f512c4c3-b253-4218-ac4a-37ea490617f2,Savings,Active,523.09,2026-05-23
GB10TUKL92277641490038,80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Savings,Active,47941.08,2025-03-25
GB10XZKK13444867228839,e3e9de99-f10c-418b-9eb0-e38a675dd5af,Savings,Active,37616.93,2025-05-08
GB40HCIL46157493251149,3d1a85dd-506e-4a9a-b758-588dab73295b,Current,Active,35162.57,2026-05-02
GB59SKGC20409543776618,8181a8cc-3691-47eb-89a2-688b12c136e0,Savings,Active,44835.91,2021-10-16
GB23QBBD87314391511436,ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,Business,Active,40393.97,2025-03-08
GB67UDZA78187109685642,35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Business,Active,39823.86,2026-03-08
GB42NURU02693315423060,00e85ece-0b49-452d-86d4-83f3d450281c,Current,Active,14576.96,2022-10-15
GB52FQNK50522411420667,b0e6a969-e213-42b0-b1ee-dba313432e61,Savings,Active,4029.77,2024-07-08
GB77IKXS92016633822224,ae9bec36-35c7-436c-9b99-62c6e61fecc0,Business,Active,11655.35,2023-02-19
GB60HSEF20562019011348,ccc56569-f9e8-4369-a999-b735dd56cc94,Business,Active,32745.59,2026-03-12
GB48GHUF52861323945645,b386f7a4-c991-403f-a8c1-3091444d610b,Current,Active,49671.49,2025-09-17
GB73QMJY49760249866342,dd463c09-4752-47aa-9408-f9ac6601ddd0,Business,Active,30476.07,2025-06-10
GB62HNYO73498529735615,2db69edb-42de-4fcc-b86c-2ca2e08596db,Savings,Active,22429.26,2026-06-28
GB95LKSC47625380966414,2db69edb-42de-4fcc-b86c-2ca2e08596db,Savings,Active,18079.79,2026-06-04
GB33HHMS52474665353896,6fa17735-b572-43d0-8b5c-ea6a41357e8c,Savings,Active,2096.64,2025-10-04
GB26XHEJ36792415712763,6fa17735-b572-43d0-8b5c-ea6a41357e8c,Business,Active,19442.95,2024-05-30
GB82VJNR58639061682497,6fa17735-b572-43d0-8b5c-ea6a41357e8c,Business,Active,30383.16,2025-04-23
GB41NDLH81168371030737,d9178793-a9d3-42e6-905c-c6869f871ce7,Business,Active,31426.7,2026-05-01
GB35WFYY01489678082649,d9178793-a9d3-42e6-905c-c6869f871ce7,Current,Active,7216.86,2026-04-06
